ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_NH_899802_000000,Staff,1975-03-07,2022-10-31 00:00:00.000000,,64012.34,10873.33,10873.33,3,326.2,0.0,163.1
DUMMY_NH_459562_000001,Staff,1995-06-07,2022-04-20 00:00:00.000000,,46490.57,32607.08,32607.08,4,1304.28,0.0,652.14
DUMMY_NH_379731_000002,Staff,1987-10-20,2022-02-28 00:00:00.000000,,56102.99,47187.99,47187.99,3,1415.64,0.0,707.82
DUMMY_NH_874129_000003,Staff,1990-02-24,2022-08-15 00:00:00.000000,,42989.85,16371.48,16371.48,3,491.14,0.0,245.57
DUMMY_NH_628880_000004,Staff,1981-04-14,2022-03-04 00:00:00.000000,,52579.95,43648.56,43648.56,3,1309.46,0.0,654.73
DUMMY_NH_937014_000005,Manager,1983-01-10,2022-07-30 00:00:00.000000,,106987.35,45432.98,45432.98,6,2725.98,0.0,1362.99
DUMMY_NH_860787_000006,Staff,1982-02-18,2022-08-21 00:00:00.000000,,46168.64,16823.09,16823.09,1,168.23,0.0,84.12
DUMMY_NH_595263_000007,Staff,1975-08-01,2022-10-27 00:00:00.000000,,46707.39,8445.72,8445.72,0,0.0,0.0,0.0
DUMMY_NH_549751_000008,Manager,1989-01-07,2022-11-19 00:00:00.000000,2022-12-17,89705.93,7127.32,7127.32,1,71.27,0.0,35.64
DUMMY_NH_517736_000009,Manager,1973-04-18,2022-09-22 00:00:00.000000,,111480.2,30847.95,30847.95,6,1850.88,0.0,925.44
DUMMY_NH_660935_000010,Manager,1984-08-15,2022-12-22 00:00:00.000000,,104979.37,2876.15,2876.15,0,0.0,0.0,0.0
DUMMY_NH_734046_000011,Staff,1993-09-27,2022-04-25 00:00:00.000000,,36144.55,24855.57,24855.57,3,745.67,0.0,372.84
DUMMY_NH_614926_000012,Manager,1964-04-15,2022-11-16 00:00:00.000000,2022-11-17,128106.04,701.95,701.95,5,35.1,0.0,17.55
DUMMY_NH_605391_000013,Staff,1996-07-25,2022-09-22 00:00:00.000000,2022-09-27,49110.65,807.3,807.3,3,24.22,0.0,12.11
DUMMY_NH_862256_000014,Staff,1977-01-13,2022-08-14 00:00:00.000000,2022-08-27,57722.3,2214.01,2214.01,3,66.42,0.0,33.21
