ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_NH_195158_00000,Staff,1968-11-27,2020-10-28 00:00:00.000000,2020-12-21,52479.34,7886.239617486338,7886.239617486338,0,0.0,0.0,0.0
DUMMY_NH_235949_00001,Staff,1983-05-15,2020-06-22 00:00:00.000000,2020-12-19,36676.66,18137.911092896178,18137.911092896178,3,544.14,0.0,272.07
DUMMY_NH_583245_00002,Manager,1974-01-05,2020-06-24 00:00:00.000000,2020-11-27,138610.59,59458.64106557376,59458.64106557376,5,2972.93,0.0,1486.47
DUMMY_NH_318606_00003,Manager,1962-03-07,2020-02-28 00:00:00.000000,,218492.58,183868.07278688526,183868.07278688526,3,5516.04,0.0,2758.02
DUMMY_NH_343818_00004,Staff,1976-12-12,2020-09-01 00:00:00.000000,,42459.97,14153.323333333334,14153.323333333334,3,424.6,0.0,212.3
DUMMY_NH_856440_00005,Executive,1989-08-16,2020-10-31 00:00:00.000000,,236811.94,40115.68382513661,40115.68382513661,3,1203.47,0.0,601.74
DUMMY_NH_593134_00006,Staff,1987-05-04,2020-04-06 00:00:00.000000,,36714.89,27084.754918032788,27084.754918032788,4,1083.39,0.0,541.7
DUMMY_NH_981093_00007,Staff,1993-11-16,2020-07-20 00:00:00.000000,2020-09-08,41893.9,5837.674590163934,5837.674590163934,3,175.13,0.0,87.57
DUMMY_NH_404605_00008,Staff,1993-03-22,2020-07-14 00:00:00.000000,,49192.07,22983.18024590164,22983.18024590164,3,689.5,0.0,344.75
DUMMY_NH_118494_00009,Staff,1981-12-24,2020-08-12 00:00:00.000000,,42587.84,16523.151038251362,16523.151038251362,3,495.69,0.0,247.85
DUMMY_NH_824795_00010,Staff,1960-10-16,2020-07-20 00:00:00.000000,,58039.39,26165.2987704918,26165.2987704918,3,784.96,0.0,392.48
DUMMY_NH_138928_00011,Staff,1963-06-22,2020-11-02 00:00:00.000000,2020-11-05,47302.01,516.9618579234973,516.9618579234973,3,15.51,0.0,7.75
DUMMY_NH_798084_00012,Manager,1975-10-04,2020-07-11 00:00:00.000000,2020-11-04,105714.19,33793.88040983607,33793.88040983607,10,3379.39,0.0,1013.82
DUMMY_NH_592898_00013,Staff,1986-06-03,2020-05-24 00:00:00.000000,,53272.48,32312.81573770492,32312.81573770492,0,0.0,0.0,0.0
DUMMY_NH_963794_00014,Staff,1970-09-15,2020-03-10 00:00:00.000000,,43606.71,35385.77286885246,35385.77286885246,3,1061.57,0.0,530.79
DUMMY_NH_759180_00015,Staff,1990-05-09,2020-03-04 00:00:00.000000,2020-10-11,30000.0,18196.72131147541,18196.72131147541,10,1819.67,0.0,545.9
DUMMY_NH_660385_00016,Staff,1974-12-24,2020-12-14 00:00:00.000000,2020-12-15,57510.95,314.2674863387978,314.2674863387978,2,6.29,0.0,3.14
DUMMY_NH_217067_00017,Staff,1981-07-18,2020-08-10 00:00:00.000000,2020-09-19,46123.09,5166.794234972677,5166.794234972677,1,51.67,0.0,25.83
DUMMY_NH_532261_00018,Staff,1983-02-26,2020-01-12 00:00:00.000000,,39120.59,37944.834562841526,37944.834562841526,7,2656.14,0.0,1138.35
DUMMY_NH_928417_00019,Staff,1981-11-26,2020-05-21 00:00:00.000000,2020-06-26,59494.8,6014.501639344263,6014.501639344263,0,0.0,0.0,0.0
DUMMY_NH_681699_00020,Staff,1980-12-27,2020-01-08 00:00:00.000000,,55620.79,54557.004398907105,54557.004398907105,4,2182.28,0.0,1091.14
DUMMY_NH_724312_00021,Staff,1982-07-15,2020-08-25 00:00:00.000000,2020-09-13,38440.47,2100.572131147541,2100.572131147541,3,63.02,0.0,31.51
DUMMY_NH_673780_00022,Staff,1975-09-24,2020-05-07 00:00:00.000000,,51943.0,33919.06284153005,33919.06284153005,3,1017.57,0.0,508.79
DUMMY_NH_619929_00023,Manager,1974-05-06,2020-03-25 00:00:00.000000,,93133.84,71758.86032786885,71758.86032786885,3,2152.77,0.0,1076.38
DUMMY_NH_718796_00024,Staff,1983-12-03,2020-01-09 00:00:00.000000,,65612.06,64177.91661202185,64177.91661202185,0,0.0,0.0,0.0
DUMMY_NH_626983_00025,Staff,1966-12-04,2020-05-04 00:00:00.000000,2020-07-01,60275.94,9716.613278688526,9716.613278688526,3,291.5,0.0,145.75
DUMMY_NH_369255_00026,Staff,1973-12-23,2020-03-10 00:00:00.000000,,55192.45,44787.31598360655,44787.31598360655,3,1343.62,0.0,671.81
DUMMY_NH_750988_00027,Staff,1989-05-24,2020-10-23 00:00:00.000000,2020-11-17,40906.31,2905.912732240437,2905.912732240437,10,290.59,0.0,87.18
DUMMY_NH_398021_00028,Staff,1987-12-20,2020-03-30 00:00:00.000000,2020-11-02,49660.62,29579.276393442626,29579.276393442626,3,887.38,0.0,443.69
