ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_EX_293452_000001,Analyst,1971-06-19,2016-05-18,,77473.63,77473.63,77473.63,9,6972.63,2324.21,2324.21
DUMMY_EX_880492_000002,Manager,1980-02-13,2012-05-20,,139026.26,139026.26,139026.26,5,6951.31,4170.79,3475.66
DUMMY_EX_581314_000003,Analyst,1983-10-04,2018-01-27,,84379.99,84379.99,84379.99,0,0.0,2531.4,0.0
DUMMY_EX_874819_000004,Analyst,1973-08-04,2010-05-11,,88915.82,88915.82,88915.82,9,8002.42,2667.47,2667.48
DUMMY_EX_407902_000005,Analyst,1991-06-10,2016-06-19,,70697.29,70697.29,70697.29,10,7069.73,2120.92,2120.92
DUMMY_EX_615207_000006,Analyst,1991-10-08,2014-05-23,,58238.87,58238.87,58238.87,3,1747.17,1747.17,873.58
DUMMY_EX_793628_000007,Director,1969-02-16,2019-11-28,,321247.67,321247.67,321247.67,0,0.0,9637.43,0.0
DUMMY_EX_508600_000008,Analyst,1966-07-06,2010-08-04,,70965.54,70965.54,70965.54,5,3548.28,2128.97,1774.14
DUMMY_EX_419818_000009,Manager,1991-06-01,2014-06-02,,128257.53,128257.53,128257.53,6,7695.45,3847.73,3847.72
DUMMY_EX_720087_000010,Analyst,1984-08-06,2014-10-21,,68015.15,68015.15,68015.15,0,0.0,2040.45,0.0
DUMMY_EX_815063_000011,Analyst,1964-04-11,2013-12-14,,67024.92,67024.92,67024.92,0,0.0,2010.75,0.0
DUMMY_EX_794775_000012,Analyst,1978-06-16,2013-10-06,,75534.87,75534.87,75534.87,4,3021.39,2266.05,1510.7
DUMMY_EX_438973_000013,Analyst,1973-03-08,2017-11-10,,81623.88,81623.88,81623.88,5,4081.19,2448.72,2040.6
DUMMY_EX_875341_000014,Analyst,1985-09-13,2012-12-13,,61550.9,61550.9,61550.9,6,3693.05,1846.53,1846.52
DUMMY_EX_331981_000015,Analyst,1982-10-12,2013-06-18,,87850.45,87850.45,87850.45,0,0.0,2635.51,0.0
DUMMY_EX_857220_000016,Analyst,1972-04-23,2018-01-04,,64286.5,64286.5,64286.5,15,9642.98,1928.6,1928.6
DUMMY_EX_672099_000018,Analyst,1991-07-16,2017-08-06,,108174.84,108174.84,108174.84,0,0.0,3245.25,0.0
DUMMY_EX_348522_000019,Analyst,1980-11-13,2015-09-11,,111092.43,111092.43,111092.43,3,3332.77,3332.77,1666.38
DUMMY_EX_548299_000020,Analyst,1977-11-22,2019-09-04,,94183.77,94183.77,94183.77,0,0.0,2825.51,0.0
DUMMY_EX_396267_000021,Analyst,1996-03-10,2019-01-08,,77652.54,77652.54,77652.54,3,2329.58,2329.58,1164.79
DUMMY_EX_267565_000022,Analyst,1978-10-11,2013-08-20,,74607.31,74607.31,74607.31,10,7460.73,2238.22,2238.22
DUMMY_EX_536233_000024,Analyst,1961-09-24,2014-11-03,,77015.41,77015.41,77015.41,10,7701.54,2310.46,2310.46
DUMMY_EX_639689_000025,Analyst,1980-07-10,2016-06-11,,93902.62,93902.62,93902.62,3,2817.08,2817.08,1408.54
DUMMY_EX_432300_000026,Analyst,1971-11-21,2015-02-15,,78954.39,78954.39,78954.39,0,0.0,2368.63,0.0
DUMMY_EX_385435_000029,Analyst,1977-02-25,2015-08-12,,67860.54,67860.54,67860.54,6,4071.63,2035.82,2035.82
DUMMY_EX_977795_000030,Analyst,1976-02-13,2012-04-21,,77635.19,77635.19,77635.19,5,3881.76,2329.06,1940.88
DUMMY_EX_805414_000031,Analyst,1991-03-22,2019-01-17,,66646.39,66646.39,66646.39,12,7997.57,1999.39,1999.39
DUMMY_EX_589185_000032,Analyst,1971-09-01,2014-08-23,,74530.52,74530.52,74530.52,7,5217.14,2235.92,2235.92
DUMMY_EX_468446_000033,Manager,1978-05-23,2014-03-30,,169285.61,169285.61,169285.61,4,6771.42,5078.57,3385.71
DUMMY_EX_494961_000034,Analyst,1966-06-13,2014-02-19,,77577.53,77577.53,77577.53,3,2327.33,2327.33,1163.66
DUMMY_EX_815873_000035,Manager,1976-08-01,2013-02-09,,120943.43,120943.43,120943.43,4,4837.74,3628.3,2418.87
DUMMY_EX_690187_000037,Analyst,1978-04-13,2017-04-13,,77553.01,77553.01,77553.01,4,3102.12,2326.59,1551.06
DUMMY_EX_521277_000038,Director,1969-01-23,2014-02-27,,363020.57,363020.57,330000.0,9,30000.0,10890.62,10890.62
DUMMY_EX_516886_000039,Analyst,1963-05-15,2015-03-19,,62315.68,62315.68,62315.68,6,3738.94,1869.47,1869.47
DUMMY_EX_638917_000040,Analyst,1972-12-01,2018-06-25,,96379.08,96379.08,96379.08,4,3855.16,2891.37,1927.58
DUMMY_EX_494511_000041,Analyst,1953-01-19,2012-02-23,,69192.61,69192.61,69192.61,5,3459.63,2075.78,1729.82
DUMMY_EX_697985_000044,Director,1977-02-25,2016-03-01,,316885.1,316885.1,316885.1,4,12675.4,9506.55,6337.7
DUMMY_EX_283205_000046,Analyst,1983-05-20,2014-07-07,,70040.76,70040.76,70040.76,10,7004.08,2101.22,2101.22
DUMMY_EX_191022_000047,Analyst,1960-02-22,2009-01-22,,76150.18,76150.18,76150.18,7,5330.51,2284.51,2284.5
DUMMY_EX_894272_000048,Director,1978-05-05,2015-04-18,,292919.79,292919.79,292919.79,10,22500.0,8787.59,8787.59
DUMMY_EX_647431_000049,Manager,1989-07-03,2019-07-04,,101087.12,101087.12,101087.12,0,0.0,3032.61,0.0
DUMMY_EX_315480_000050,Analyst,1996-10-13,2019-06-17,,65579.55,65579.55,65579.55,8,5246.36,1967.39,1967.38
DUMMY_EX_998424_000052,Analyst,1983-01-14,2009-04-07,,71448.32,71448.32,71448.32,15,10717.25,2143.45,2143.45
DUMMY_EX_793388_000053,Analyst,1980-11-16,2012-06-21,,84275.77,84275.77,84275.77,8,6742.06,2528.27,2528.28
DUMMY_EX_235893_000054,Manager,1988-10-11,2018-10-10,,108797.48,108797.48,108797.48,1,1087.97,3263.92,543.98
DUMMY_EX_303178_000056,Director,1984-12-02,2008-09-15,,425614.23,425614.23,330000.0,4,17024.57,12768.43,8512.28
DUMMY_EX_644089_000058,Director,1976-05-10,2013-06-29,,300171.53,300171.53,300171.53,0,0.0,9005.15,0.0
DUMMY_EX_317180_000059,Manager,1974-12-15,2016-05-30,,181813.78,181813.78,181813.78,3,5454.41,5454.41,2727.2
DUMMY_EX_320563_000060,Manager,1974-07-14,2013-04-05,,158624.16,158624.16,158624.16,4,6344.97,4758.72,3172.48
DUMMY_EX_789827_000063,Analyst,1959-07-15,2017-05-19,,63819.15,63819.15,63819.15,1,638.19,1914.57,319.1
DUMMY_EX_236198_000064,Analyst,1976-10-08,2019-02-05,,86771.43,86771.43,86771.43,9,7809.43,2603.14,2603.14
DUMMY_EX_397179_000065,Director,1974-02-18,2016-08-15,,513993.66,513993.66,330000.0,0,0.0,15419.81,0.0
DUMMY_EX_204000_000069,Analyst,1987-03-04,2010-06-04,,58966.45,58966.45,58966.45,8,4717.32,1768.99,1769.0
DUMMY_EX_368108_000070,Analyst,1965-04-03,2014-05-23,,114869.94,114869.94,114869.94,5,5743.5,3446.1,2871.75
DUMMY_EX_599299_000071,Analyst,1982-07-17,2014-04-28,,100268.16,100268.16,100268.16,6,6016.09,3008.04,3008.04
DUMMY_EX_392454_000073,Manager,1991-01-22,2018-12-04,,142987.14,142987.14,142987.14,6,8579.23,4289.61,4289.62
